,title,dept,procurement_stage,notice_status,contract location,contract_value,publication_year,closing_year,status
115,Provision of Pension consulting & advisory services		,THE FINANCIAL REPORTING COUNCIL LIMITED, Opportunity, Open, EC2Y 5AS,40000.0,2022.0,2022,Closing
116,SLaM Disabled Access Guides - ST20-P150		,South London and Maudsley NHS Foundation Trust, Opportunity, Open, BR3 3BX,,2022.0,2022,Closing
117,Lift 4 Replacement Ridings Building Dewsbury Hospital		,The Mid Yorkshire Hospitals NHS Trust, Opportunity, Open, WF1 4DG,,2022.0,2022,Closing
118,Manned Security Service		,Northamptonshire Healthcare NHS Foundation Trust, Opportunity, Open, East Midlands,,2022.0,2022,Closing
119,Global Health Training Programme		,NHS England, Opportunity, Open, LS2 7UE,23000.0,2022.0,2022,Closing
120,"CA10281 - Tender 01/2022 - Provision of Consultancy Service, Newcastle Harbour, Co Down.		","Newry, Mourne and Down District Council (NMD)", Opportunity, Open, BT35 8DJ,,2022.0,2022,Closing
121,02964 - Housing Development at Freemans Green Luton		,Luton Council, Opportunity, Open, LU1 2BQ,,2022.0,2022,Closing
122,SLaM Disabled Access Guides - ST20-P150		,South London and Maudsley NHS Foundation Trust, Opportunity, Open, BR3 3BX,,2022.0,2022,Closing
123,"Colonnade House Development, Warwick Street, Worthing - Invitation to Tender - Adur & Worthing Councils		",Adur & Worthing Council, Opportunity, Open, BN11 1HA,,2022.0,2022,Closing
124,The Financial Wellbeing of Families and Young Adults		,Essex County Council, Early engagement, Open, United Kingdom,1.0,2022.0,2022,Closing
125,Framework Agreement for the supply of furniture and associated design services		,"City, University of London", Opportunity, Open, London,,2022.0,2022,Closing
126,Outsourcing of Information Technology		,BOURNEMOUTH CHURCHES HOUSING ASSOCIATION LIMITED, Opportunity, Open, South West,,2022.0,2022,Closing
127,North Northamptonshire Council and West Northamptonshire Council Section 19 Flood Investigations		,North Northamptonshire Council, Opportunity, Open, East Midlands,,2022.0,2022,Closing
128,FE Governor Recruitment		,Department for Education, Early engagement, Open," North East, North West, Yorkshire and the Humber, East Midlands, West Midlands, East of England, London, South East, South West",1.0,2022.0,2022,Closing
129,Swiftwater Rescue Training		,Tyne and Wear Fire and Rescue Service (TWFRS), Opportunity, Open, SR5 3QY,100000.0,2022.0,2022,Closing
130,"LPS CORP -Insurance Policies for Lancashire County Council Property, Casualty and Motor Fleet - RFQ 15328942		",Lancashire County Council, Opportunity, Open, North West,,2022.0,2022,Closing
131,220229 NEC Site Supervisor		,Kent and Medway NHS and Social Care Partnership Trust, Opportunity, Open, United Kingdom,,2022.0,2022,Closing
132,GB-Taunton: Digitising Hard Copy Publications 2022		,The United Kingdom Hydrographic Office, Opportunity, Open, South West,100000.0,2022.0,2022,Closing
133,Hydrogen combustion test rig for industrial decarbonisation		,UNIVERSITY OF SHEFFIELD, Opportunity, Open, Yorkshire and the Humber,,2022.0,2022,Closing
134,Wetside Retail Products		,Bolsover District Council, Opportunity, Open, S42 6NG,,2022.0,2022,Closing
135,BSH/CEN/Secondary bulge 22/23 - Capital works at Montpelier High School		,Bristol City Council, Opportunity, Open, England,,2022.0,2022,Closing
136,GB-Middlesbrough: AV Equipment		,Teesside University, Opportunity, Open, North East,500000.0,2022.0,2022,Closing
137,Pan Essex Urgent Primary Medical Care Pseudo Dynamic Purchasing System		,Attain, Opportunity, Open, East of England,57456000.0,2019.0,2022,Closing
138,3258/LM - International Working Tax Advisory Services - Framework Agreement		,UNIVERSITY OF SHEFFIELD, Opportunity, Open, Yorkshire and the Humber,,2022.0,2022,Closing
139,"STC1161 - Automatic Access Control System (AACS) Software, Ongoing Support, Maintenance and Hardware		",UK Parliament, Opportunity, Open, SW1A 0AA,,2022.0,2022,Closing
140,BSH/CEN/ Secondary bulge 22/23 - Capital works at City Academy		,Bristol City Council, Opportunity, Open, England,,2022.0,2022,Closing
141,CA10263 - Tender an Indirect Programme Delivery Partner based in Lincolnshire [this is a reserved requirement of this tender]		,The Prince's Trust, Opportunity, Open, EC2M 7LS,,2022.0,2022,Closing
142,"ISO Certification, Carbon Management Assessment and Environmental Data Verification Consultancy Services		",HS2, Early engagement, Open, Any region,1.0,2022.0,2022,Closing
143,Tree Maintenance - Reactive - Tree Maintenance - Reactive - Highways		,London Borough of Haringey - Parks and Leisure, Opportunity, Open, United Kingdom,,2022.0,2022,Closing
144,CA10277 - South Thames Colleges Group - Framework Agreement of Preferred Subcontractor Suppliers		,South Thames College Group, Opportunity, Open, KT1 2AQ,,2022.0,2022,Closing
145,"Enabling Works for Energy Revolution Gallery, Science Museum		",Science Museum Group, Opportunity, Open, SW7 2DD,500000.0,2022.0,2022,Closing
146,Request for Information (RFI): Provision of an Integrated Aerodrome Operations Management System for the Royal Air Force		,Ministry of Defence, Early engagement, Open, Any region,1.0,2022.0,2022,Closing
147,Soft Market Testing Exercise for Provision of Residential Short Break for Children with Life-Limiting and Life-Shortening Conditions		,South Tyneside Council, Early engagement, Open, North East,1.0,2022.0,2022,Closing
148,Tree Maintenance - Reactive - Tree Maintenance - Reactive - Highways		,London Borough of Haringey - Parks and Leisure, Opportunity, Open, United Kingdom,,2022.0,2022,Closing
149,"Marketing & Social Media activities in the US, covering Beef, Lamb and Pork		",Defra Network eTendering Portal, Opportunity, Open, CV8 2LG,210000.0,2022.0,2022,Closing
150,Tree Maintenance - Reactive - Tree Maintenance - Reactive - Highways		,London Borough of Haringey - Parks and Leisure, Opportunity, Open, United Kingdom,,2022.0,2022,Closing
151,PAN2497 - Domestic Homicide Review Independent Chair and Author Services		,Leicester City Council, Opportunity, Open, East Midlands,,2022.0,2026,Closing
152,Elephant Tea Rooms		,Sunderland City Council, Opportunity, Open, England,,2022.0,2022,Closing
153,"Servicing, Preventative Maintenance, Breakdown Cover, Spare Parts and Warranty Extensions of CPI's Perkin Elmer Instruments		",CENTRE FOR PROCESS INNOVATION LIMITED, Opportunity, Open, North East,,2022.0,2022,Closing
154,Hair: temporary exhibition transport between museums		,THE HORNIMAN PUBLIC MUSEUM AND PUBLIC PARK TRUST, Opportunity, Open," North West, Yorkshire and the Humber, London",,2022.0,2022,Closing
155,"PAPI 317.1 - Borescope with Integral Software, Probe & Optical Tip		",University of York, Opportunity, Open, YO10 5GE,,2022.0,2022,Closing
156,Solution to back up a Microsoft 365 Tenancy		,University of Winchester, Opportunity, Open, SO22 4NR,27500.0,2022.0,2022,Closing
157,"Software, Ongoing Support, Maintenance and Hardware		",HOUSES OF PARLIAMENT, Opportunity, Open, London,8000000.0,2022.0,2022,Closing
158,Provision of Virtual Environment Platform		,The University of Central Lancashire, Opportunity, Open, PR1 2HE,,2022.0,2022,Closing
159,Digital Directorate Security Partner		,Scottish Water, Opportunity, Open, Scotland,,2022.0,2022,Closing
160,Waste Disposal and Treatment		,LondonEnergy Ltd, Opportunity, Open, N18 3AG,,2022.0,2022,Closing
161,WSCC AE Community Advice and Support		,West Sussex County Council (CAP), Opportunity, Open, PO19 1RQ,7700000.0,2022.0,2022,Closing
162,HCC 03/2022 - The Provision of a Grounds Maintenance Framework		,Hertfordshire County Council - Resources, Opportunity, Open, SG13 8DE,,2022.0,2022,Closing
163,National Tutoring Programme - Delivery partner(s) from AY 2022/23		,Department for Education, Early engagement, Open," North East, North West, Yorkshire and the Humber, East Midlands, West Midlands, East of England, London, South East, South West",1.0,2022.0,2022,Closing
164,AMC of Motors & Pumps		,Foreign Commonwealth and Development Office, Opportunity, Open, Any region,,2022.0,2022,Closing
165,CA10274 - AECC University College Telephone System		,AECC University College, Opportunity, Open, BH5 2DF,,2022.0,2022,Closing
166,NHS Federated Data Platform		,NHS Commissioning Board, Early engagement, Open, LS2 7UE,0.0,2022.0,2022,Closing
167,Mis/Disinformation Monitoring and Analysis Services		,"Department of Culture, Media and Sport", Opportunity, Open, Any region,,2022.0,2022,Closing
168,GB-Watford: Master Planning a Sustainable Transport Hub		,Watford Borough Council, Opportunity, Open, East of England,50000.0,2022.0,2022,Closing
169,INTERNATIONAL PAYMENT SERVICES		,Bournemouth University, Opportunity, Open, BH1 3LH,,2022.0,2022,Closing
170,Education Psychology Service		,City of London Corporation, Opportunity, Open, EC2P 2EJ,,2022.0,2022,Closing
171,Supply and fitting of ground source heat pump system (boreholes) at Sutton Bank YO7 2EH		,Director, Opportunity, Open, Yorkshire and the Humber,115000.0,2022.0,2022,Closing
172,Occupational Health		,Devon and Somerset Fire and Rescue Authority, Opportunity, Open, EX3 0NW,6000000.0,2022.0,2022,Closing
173,Social Worker - Community Teams - March31		,Sandwell Metropolitan Borough Council, Opportunity, Open, B70 8SZ,,2022.0,2022,Closing
174,Provision of an Integrated Urgent Care Hub Service Within St Albans City Hospital		,NHS Shared Business Services, Opportunity, Open, AL3 5PN,,2022.0,2022,Closing
175,Provision of Insurance and related services to The Pioneer Group		,The Pioneer Group, Opportunity, Open, Any region,,2022.0,2022,Closing
176,Bulk Recording Solution (BRS) for the Emergency services Network (ESN)		,Home Office, Early engagement, Open, SW1H 9EX,4.0,2022.0,2022,Closing
177,Provision of Data Sets for the Market Surveillance Solution		,Financial Conduct Authority, Opportunity, Open, Any region,,2022.0,2022,Closing
178,Grounds Maintenance Contract 2023 - 2028		,Cosby Parish Council, Opportunity, Open, LE9 1RN,,2022.0,2022,Closing
179,Stone Parish Council Recreational Ground Enhancement Works - Multi-Discipline Consultant Services		,Stone Parish Council, Opportunity, Open, DA9 9DS,118000.0,2022.0,2022,Closing
180,PAN2515 - Variable Message Signs		,Leicester City Council, Opportunity, Open, England,,2022.0,2022,Closing
181,Contract for the Supply and Application of Herbicides		,GATESHEAD COUNCIL, Opportunity, Open, North East,,2022.0,2022,Closing
182,Active Effluent Pumping Station at SGHWR and DRAGON at Winfrith Site		,CTM Portal for the NDA Shared Services Alliance, Opportunity, Open, DT2 8WG,160000.0,2022.0,2022,Closing
183,Holland Park - Toilet and Changing Block Refurbishment		,capitalEsourcing, Opportunity, Open, London,,2022.0,2022,Closing
184,NHS Sheffield CCG : Sheffield Crisis Cafe Service		,NHS Sheffield CCG, Opportunity, Open, S9 4EU,1200000.0,2022.0,2022,Closing
185,Air Conditioning Maintenance Services		,Milton Keynes Council, Opportunity, Open, MK9 3EJ,,2022.0,2022,Closing
186,"Provision of Marketing Support Services to Destination Staffordshire  (Brand maintenance and development, creative design, print and digital marketing including media planning and media buying)		",Staffordshire County Council, Opportunity, Open, West Midlands,576000.0,2022.0,2022,Closing
187,"""Note Reserved Contract"" - Fabrication and Delivery of D1208 Emergency Escape Spiral Stairway		",CTM Portal for the NDA Shared Services Alliance, Opportunity, Open, KW14 7TZ,100000.0,2022.0,2022,Closing
188,CA10275 - DN Colleges - ITT for Grounds Maintenance		,North Lindsey College, Opportunity, Open, DN17 1AJ,,2022.0,2022,Closing
189,Remote Sensing Acquisition Services Framework		,Ordnance Survey Limited, Opportunity, Open, South East,,2022.0,2022,Closing
190,Holiday Activities Programme - Dynamic Purchasing Vehicle (DPV)		,London Borough of Waltham Forest and London Borough of Redbridge, Opportunity, Open, England,,2022.0,2022,Closing
191,CPM Technical Architect - 703571450		,Ministry of Defence, Opportunity, Open, PO2 8BY,,2022.0,2022,Closing
192,Security Arrangements for Jaywick Sands New Build Property		,ESSEX COUNTY COUNCIL, Opportunity, Open, CO15 2GA,4000.0,2022.0,2022,Closing
193,"NUN - Local Plan Review (Air Quality, Heritage and Landscape Assessments)		",Nuneaton & Bedworth BC (NUN), Opportunity, Open, CV11 5AA,62000.0,2022.0,2022,Closing
194,701478374 Project SOCIETAS Transparency Notice		,Ministry of Defence, Opportunity, Open, LN5 9NB,,2022.0,2022,Closing
